Kerncijfers wijken en buurten 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeentenaam;Soort regio;Codering;Jaar;||Aantal inwoners;|||Mannen;||Vrouwen;|||0 tot 15 jaar;||15 tot 25 jaar;||25 tot 45 jaar;||45 tot 65 jaar;||65 jaar of ouder;|||Ongehuwd;||Gehuwd;||Gescheiden;||Verweduwd;|||Westers totaal;||||Niet-westers totaal;|||Marokko;|||Nederlandse Antillen en Aruba;|||Suriname;|||Turkije;|||Overig niet-westers;|||Geboorte totaal;||Geboorte relatief;||Sterfte totaal;||Sterfte relatief;|||Huishoudens totaal;||Eenpersoonshuishoudens;||Huishoudens zonder kinderen;||Huishoudens met kinderen;||Gemiddelde huishoudensgrootte;Bevolkingsdichtheid;||Woningvoorraad;Gemiddelde woningwaarde;||Percentage eengezinswoning;||Percentage meergezinswoning;|||Percentage bewoond;||Percentage onbewoond;|||Koopwoningen;||||Huurwoningen totaal;|||In bezit woningcorporatie;|||In bezit overige verhuurders;||Eigendom onbekend;|||Bouwjaar voor 2000;||Bouwjaar vanaf 2000;||||Gemiddeld elektriciteitsverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Koopwoning;|||Gemiddeld aardgasverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Koopwoning;||Percentage woningen met stadsverwarming;||||Aantal inkomensontvangers  ;||Gemiddeld inkomen per inkomensontvanger ;||Gemiddeld inkomen per inwoner ;||40% personen met laagste inkomen;||20% personen met hoogste inkomen;||Actieven 15-75 jaar;|||40% huishoudens met laagste inkomen;||20% huishoudens met hoogste inkomen;||Huishoudens met een laag inkomen;||Huish. onder of rond sociaal minimum;"||Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";||Bedrijfsvestigingen totaal;|||A Landbouw, bosbouw en visserij;||B-F Nijverheid en energie;||G+I Handel en horeca;||H+J Vervoer, informatie en communicatie;||K-L Financiële diensten, onroerend goed;||M-N Zakelijke dienstverlening;||R-U Cultuur, recreatie, overige diensten;||||Personenauto's totaal;"||||Personenauto's; jonger dan 6 jaar";"|||Personenauto's; 6 jaar en ouder";"||||Personenauto's; brandstof benzine";"|||Personenauto's; overige brandstof";||Personenauto's per huishouden;||Personenauto's naar oppervlakte;Bedrijfsmotorvoertuigen;Motortweewielers;||Afstand tot huisartsenpraktijk;Afstand tot grote supermarkt;Afstand tot kinderdagverblijf;||Afstand tot school;||Scholen binnen 3 km;||Oppervlakte totaal;Oppervlakte land;Oppervlakte water;||||Stedelijk bodemgebruik totaal;|||||Verkeersterrein;||||Bebouwd terrein;||||Semi-bebouwd terrein;||||Recreatieterrein;||||Stedelijk bodemgebruik totaal;|||||Verkeersterrein;||||Bebouwd terrein;||||Semi-bebouwd terrein;||||Recreatieterrein;|||||Niet-stedelijk bodemgebruik totaal;|||||Agrarisch terrein;||||Bos en open natuurlijk terrein;||||Niet-stedelijk bodemgebruik totaal;|||||Agrarisch terrein;||||Bos en open natuurlijk terrein;||Meest voorkomende postcode;Dekkingspercentage;||Mate van stedelijkheid;Omgevingsadressendichtheid;Indelingswijziging wijken en buurten
Wijken en buurten;naam;omschrijving;code;;aantal;aantal;aantal;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;%;%;%;aantal;aantal inwoners per km²;aantal;x 1 000 euro;%;%;%;%;%;%;%;%;%;%;%;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;m³;m³;m³;m³;m³;m³;m³;m³;%;aantal;x 1 000 euro;x 1 000 euro;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per huishouden;per km²;aantal;aantal;km;km;km;km;aantal;ha;ha;ha;ha;ha;ha;ha;ha;%;%;%;%;%;ha;ha;ha;%;%;%;code;code;code;per km²;code
Rotterdam;Rotterdam;Gemeente;GM0599;2014;618355;304350;314005;17;13;31;25;15;55;31;10;5;12;37;7;4;9;8;10;8107;13;5228;8;311190;47;23;30;2;2960;308291;148;25;75;93;7;35;64;45;19;1;89;11;2500;2150;3250;3400;4100;5050;2200;3000;800;700;950;1200;1700;2450;750;900;15,9;464600;27,5;21,4;44,3;17,6;53,3;53;13,5;18,7;15,7;40280;25620;18590;91370;48290;305;6300;10750;5365;4380;14095;7095;213135;67990;145145;176145;36990;0,7;1020;24115;11650;0,6;0,5;0,5;0,5;24,7;32416;20888;11529;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;3909;.
Wijk 01 Rotterdam Centrum;Rotterdam;Wijk;WK059901;2014;31200;16155;15045;9;15;42;22;12;66;22;9;3;17;37;6;3;8;5;15;405;12;190;6;19565;62;23;15;1,6;7548;19048;169;1;99;89;11;29;69;30;39;2;85;15;2150;2100;3700;3050;.;.;2000;2300;250;250;1150;650;.;.;300;200;60,2;25400;32,3;27,7;41,2;26,1;57,5;53,2;15,3;17,3;14,8;1800;1010;790;3760;7020;10;320;1730;655;835;2585;885;14210;7945;6265;10345;3865;0,7;3437;1330;585;0,5;0,3;0,3;0,5;44,5;493;413;80;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;6297;1
Stadsdriehoek;Rotterdam;Buurt;BU05990110;2014;13770;7215;6555;7;14;48;19;12;68;21;8;3;19;24;2;2;5;2;12;210;15;60;4;9175;63;26;11;1,5;10167;9053;182;0;100;90;10;35;63;18;45;1;77;23;2150;2150;.;.;.;.;2050;2250;50;50;.;.;.;.;50;100;85,5;11700;37,2;33;31,9;34,1;65,8;45,3;18,7;9,8;8,4;360;350;320;1560;3040;5;135;660;280;360;1255;345;7900;4890;3005;6015;1885;0,9;5832;705;360;0,5;0,3;0,5;0,7;45,6;173;135;38;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3011;1;1;6593;3
Oude Westen;Rotterdam;Buurt;BU05990111;2014;9360;4755;4600;15;16;30;26;13;61;24;12;3;12;60;14;3;14;11;19;100;10;75;8;4925;55;18;28;1,8;16525;4603;126;2;98;91;9;18;80;62;18;2;99;1;2150;2100;3600;.;.;.;2100;2500;850;850;1450;.;.;.;850;950;.;7000;22,3;17,6;57;11,1;43,1;66,8;8,7;33,7;28,6;1160;460;260;1210;960;5;85;270;70;60;260;215;2260;640;1620;1740;520;0,5;3992;370;90;0,3;0,3;0,2;0,3;45,1;57;57;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3014;2;1;6265;1
Cool;Rotterdam;Buurt;BU05990112;2014;4860;2460;2400;7;13;45;21;14;65;20;11;4;18;34;6;2;7;4;15;65;13;50;10;3150;64;24;13;1,5;7967;3273;153;1;99;83;17;23;76;29;47;1;86;14;1900;1900;3550;.;.;.;1900;1950;200;200;500;.;.;.;200;150;63,7;4100;30,5;27;40,6;24;60,8;53,9;12,1;16,4;14,6;260;150;140;680;1450;0;45;565;130;120;395;195;1505;580;925;1175;330;0,5;2467;145;70;0,7;0,3;0,2;0,5;45,9;61;61;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3012;1;1;6445;3
C.S. kwartier;Rotterdam;Buurt;BU05990113;2014;1095;635;460;5;14;51;22;7;69;24;5;2;23;39;0;3;4;3;28;10;9;0;0;770;68;24;8;1,4;2690;609;166;0;100;92;8;44;55;1;54;1;100;0;2000;2000;.;.;.;.;1800;2200;0;0;.;.;.;.;0;0;99,4;800;39,7;35,2;30,4;38,4;64,1;39,4;21,1;4,6;4,4;10;20;20;80;595;0;10;65;85;90;285;65;1510;1320;190;640;870;2;3708;20;25;0,7;0,6;0,4;0,6;46,9;41;41;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3013;1;1;6925;1
Nieuwe Werk;Rotterdam;Buurt;BU05990118;2014;1430;755;675;6;24;33;24;13;64;28;5;3;21;16;1;3;3;1;8;10;6;0;2;985;66;26;8;1,4;2065;942;389;4;96;83;17;44;53;7;46;3;80;20;3000;2950;4350;.;.;.;2650;3100;200;150;1300;.;.;.;300;200;68,5;1200;48,1;43,3;41,8;38,9;52,6;51,3;29,2;11;8,1;10;20;30;180;815;0;30;140;80;180;335;50;840;450;395;615;225;0,9;1212;80;30;0,5;0,5;0,4;0,9;26,1;109;69;40;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3016;1;1;3442;3
Dijkzigt;Rotterdam;Buurt;BU05990119;2014;680;330;345;4;31;50;9;6;85;10;3;2;10;41;1;17;7;3;14;5;10;0;2;545;81;15;5;1,2;1358;568;123;2;98;92;8;11;89;44;45;0;87;13;2000;1950;.;.;.;.;1600;2850;200;200;.;.;.;.;100;550;62,6;600;23,3;21,6;56;16,7;46,7;74,1;7,9;15,1;12,7;20;10;20;40;155;0;10;30;15;25;60;20;190;60;130;155;35;0,3;381;15;10;0,5;0,4;0,4;0,6;39,1;52;50;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3015;1;1;5391;1
