Kerncijfers wijken en buurten 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;||Gemeentenaam;Soort regio;Codering;Jaar;Indelingswijziging wijken en buurten;||Aantal inwoners;|||Mannen;||Vrouwen;|||0 tot 15 jaar;||15 tot 25 jaar;||25 tot 45 jaar;||45 tot 65 jaar;||65 jaar of ouder;|||Ongehuwd;||Gehuwd;||Gescheiden;||Verweduwd;|||Westers totaal;||||Niet-westers totaal;|||Marokko;|||Nederlandse Antillen en Aruba;|||Suriname;|||Turkije;|||Overig niet-westers;|||Geboorte totaal;||Geboorte relatief;||Sterfte totaal;||Sterfte relatief;|||Huishoudens totaal;||Eenpersoonshuishoudens;||Huishoudens zonder kinderen;||Huishoudens met kinderen;||Gemiddelde huishoudensgrootte;Bevolkingsdichtheid;||Woningvoorraad;Gemiddelde woningwaarde;||Percentage eengezinswoning;||Percentage meergezinswoning;|||Percentage bewoond;||Percentage onbewoond;|||Koopwoningen;||||Huurwoningen totaal;|||In bezit woningcorporatie;|||In bezit overige verhuurders;||Eigendom onbekend;|||Bouwjaar voor 2000;||Bouwjaar vanaf 2000;||||Gemiddeld elektriciteitsverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Eigen woning;|||Gemiddeld aardgasverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Eigen woning;||Percentage woningen met stadsverwarming;||||Aantal inkomensontvangers  ;||Gemiddeld inkomen per inkomensontvanger ;||Gemiddeld inkomen per inwoner ;||40% personen met laagste inkomen;||20% personen met hoogste inkomen;||Actieven 15-75 jaar;|||40% huishoudens met laagste inkomen;||20% huishoudens met hoogste inkomen;||Huishoudens met een laag inkomen;||Huish. onder of rond sociaal minimum;"||Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";||Bedrijfsvestigingen totaal;|||A Landbouw, bosbouw en visserij;||B-F Nijverheid en energie;||G+I Handel en horeca;||H+J Vervoer, informatie en communicatie;||K-L Financiële diensten, onroerend goed;||M-N Zakelijke dienstverlening;||R-U Cultuur, recreatie, overige diensten;||||Personenauto's totaal;"||||Personenauto's; jonger dan 6 jaar";"|||Personenauto's; 6 jaar en ouder";"||||Personenauto's; brandstof benzine";"|||Personenauto's; overige brandstof";||Personenauto's per huishouden;||Personenauto's naar oppervlakte;Bedrijfsmotorvoertuigen;Motorfietsen;||Afstand tot huisartsenpraktijk;Afstand tot grote supermarkt;Afstand tot kinderdagverblijf;||Afstand tot school;||Scholen binnen 3 km;||Oppervlakte totaal;Oppervlakte land;Oppervlakte water;||Meest voorkomende postcode;Dekkingspercentage;||Mate van stedelijkheid;Omgevingsadressendichtheid;||Totaal diefstal uit woning/schuur/e.d.;Vernieling, misdrijf tegen openbare orde;Gewelds- en seksuele misdrijven
Wijken en buurten;naam;omschrijving;code;;code;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal inwoners per km²;aantal;x 1 000 euro;%;%;%;%;%;%;%;%;%;%;%;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;m³;m³;m³;m³;m³;m³;m³;m³;%;aantal;x 1 000 euro;x 1 000 euro;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per huishouden;per km²;aantal;aantal;km;km;km;km;aantal;ha;ha;ha;code;code;code;per km²;per 1 000 inwoners;per 1 000 inwoners;per 1 000 inwoners
Rotterdam;Rotterdam;Gemeente;GM0599;2016;.;629606;310200;319406;103138;84780;191543;155144;95001;350797;188873;61648;28288;76908;236689;43064;23859;52584;47778;69404;8060;13;5598;9;318219;152561;71711;93947;2;2920;311168;148;25;75;94;6;35;64;44;20;2;89;11;2440;2120;3140;3290;4030;4990;2130;2950;870;770;1060;1310;1790;2680;830;1000;17,1;481100;28,9;22,8;45,2;17,9;54,3;54,2;13,1;15;14,7;41910;25810;15990;91930;52930;325;6795;11590;5840;4660;15845;7875;216050;68265;147785;179415;36635;0,7;1002;23500;12000;0,6;0,5;0,5;0,5;23,7;32416;21564;10852;.;.;1;3968;6;8;9
Rotterdam Centrum;Rotterdam;Wijk;WK059901;2016;3;32925;17065;15855;3085;5100;13735;6875;4130;21980;7155;2915;885;5845;12065;1940;960;2415;1630;5115;455;14;220;7;20660;12775;4785;3110;1,6;7948;19518;171;1;99;90;10;29;69;29;40;2;83;17;2110;2060;3570;2850;.;.;1960;2280;270;280;890;590;.;550;320;230;63,1;26900;35,9;30,8;39,5;28;59,7;52,9;15,2;12,7;12,9;1830;1010;730;3960;7780;10;335;1955;770;925;2810;975;13515;7185;6330;9935;3580;0,7;3263;1245;645;0,5;0,3;0,3;0,5;40,9;488;414;74;.;.;1;6199;5;13;29
Stadsdriehoek;Rotterdam;Buurt;BU05990110;2016;1;14825;7725;7100;1125;2175;6995;2795;1735;10195;3170;1110;360;3020;3625;310;320;700;350;1945;240;16;75;5;9805;6135;2565;1115;1,5;10914;9394;182;0;100;91;9;35;63;17;46;1;74;26;2090;2080;2350;1770;.;.;1990;2210;80;90;.;.;.;.;80;110;82,7;12500;41,8;36,7;29,6;36,1;67,6;45;18,6;7,1;7,1;370;350;320;1670;3425;5;145;790;345;395;1385;355;8210;5195;3015;5955;2255;0,8;6042;660;385;0,5;0,3;0,4;0,7;40,8;173;136;37;3011;1;1;6383;2;12;20
Oude Westen;Rotterdam;Buurt;BU05990111;2016;1;9350;4740;4610;1325;1480;2860;2365;1320;5785;2210;1085;275;1140;5475;1300;250;1170;1000;1750;85;9;80;9;4980;2765;895;1325;1,8;16509;4646;127;2;98;93;7;18;78;59;19;4;99;1;2070;2030;3420;.;.;.;1970;2420;950;940;1530;.;.;.;950;1000;.;7200;24,1;19,4;57,4;12,6;45,5;67,2;8;24,6;25,7;1100;440;230;1270;1145;0;80;295;80;75;360;255;2280;670;1605;1750;530;0,5;4024;360;105;0,3;0,3;0,2;0,3;43,3;57;57;0;3014;2;1;6397;9;10;13
Cool;Rotterdam;Buurt;BU05990112;2016;1;5395;2780;2610;430;655;2535;1060;710;3645;1020;555;180;985;2000;305;170;405;225;895;100;19;45;9;3495;2230;795;475;1,5;8842;3346;158;1;99;86;14;23;76;27;49;1;85;15;1900;1900;4130;.;.;.;1870;2020;150;150;350;.;.;.;150;160;76,1;4500;35;30,7;38;27,8;63,2;53,4;13,4;13,7;13,9;330;170;130;670;1620;0;55;605;160;140;435;225;1575;595;980;1180;395;0,5;2581;120;80;0,7;0,2;0,3;0,5;42,5;61;61;0;3012;1;1;6283;6;23;70
Cs Kwartier;Rotterdam;Buurt;BU05990113;2016;1;1060;600;460;70;150;515;235;90;735;255;55;20;265;405;5;35;50;20;285;10;9;5;5;740;500;170;75;1,4;2609;608;170;0;100;90;10;45;54;1;53;1;100;0;1970;1970;.;.;.;.;1830;2090;.;.;.;.;.;.;.;.;98,3;700;45;38,1;28,2;37,3;64,1;40,3;18;3,7;2,9;0;20;20;90;500;0;10;80;85;80;190;55;385;195;190;275;115;0,5;947;20;25;0,7;0,6;0,3;0,7;43,3;41;41;0;3013;1;1;7003;2;19;96
Nieuwe Werk;Rotterdam;Buurt;BU05990118;2016;3;1575;870;705;95;440;450;360;230;1025;420;95;45;340;260;15;55;40;20;130;10;8;5;3;1075;705;285;90;1,5;2258;954;376;3;97;84;16;45;53;7;45;3;80;20;2890;2790;5270;.;.;.;2470;3020;180;150;650;.;.;820;280;150;80,2;1300;46,5;41;41,9;35,6;51,9;52,9;26,8;7,8;6,3;10;20;10;220;910;0;40;160;85;210;360;55;880;470;410;630;250;0,8;1261;75;40;0,5;0,5;0,4;0,9;24,1;104;70;34;3016;1;1;3472;2;13;15
Dijkzigt;Rotterdam;Buurt;BU05990119;2016;1;710;340;365;40;200;375;55;40;605;75;25;10;85;295;0;130;40;10;105;5;7;0;3;555;450;85;30;1,3;1419;570;124;2;98;95;5;11;88;44;45;0;87;13;2040;1890;.;.;.;.;1520;2970;200;220;40;.;.;.;70;610;69,5;600;27,3;24,7;50,9;19,3;53;74,1;7,8;10,6;8,3;10;10;10;40;175;0;10;25;10;25;75;30;190;65;125;150;40;0,3;375;15;10;0,6;0,6;0,5;0,7;32,2;52;50;2;3015;1;1;5416;3;14;38
