Kerncijfers wijken en buurten 2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gemeentenaam;Soort regio;Codering;Jaar;Indelingswijziging wijken en buurten;||Aantal inwoners;|||Mannen;||Vrouwen;|||0 tot 15 jaar;||15 tot 25 jaar;||25 tot 45 jaar;||45 tot 65 jaar;||65 jaar of ouder;|||Ongehuwd;||Gehuwd;||Gescheiden;||Verweduwd;|||Westers totaal;||||Niet-westers totaal;|||Marokko;|||Nederlandse Antillen en Aruba;|||Suriname;|||Turkije;|||Overig niet-westers;|||Geboorte totaal;||Geboorte relatief;||Sterfte totaal;||Sterfte relatief;|||Huishoudens totaal;||Eenpersoonshuishoudens;||Huishoudens zonder kinderen;||Huishoudens met kinderen;||Gemiddelde huishoudensgrootte;Bevolkingsdichtheid;||Woningvoorraad;Gemiddelde woningwaarde;||Percentage eengezinswoning;||Percentage meergezinswoning;|||Percentage bewoond;||Percentage onbewoond;|||Koopwoningen;||||Huurwoningen totaal;|||In bezit woningcorporatie;|||In bezit overige verhuurders;||Eigendom onbekend;|||Bouwjaar voor 2000;||Bouwjaar vanaf 2000;||||Gemiddeld elektriciteitsverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Eigen woning;|||Gemiddeld aardgasverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Eigen woning;||Percentage woningen met stadsverwarming;||||Aantal inkomensontvangers  ;||Gemiddeld inkomen per inkomensontvanger ;||Gemiddeld inkomen per inwoner ;||40% personen met laagste inkomen;||20% personen met hoogste inkomen;||Actieven 15-75 jaar;|||40% huishoudens met laagste inkomen;||20% huishoudens met hoogste inkomen;||Huishoudens met een laag inkomen;||Huish. onder of rond sociaal minimum;"||Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";||Totaal diefstal uit woning/schuur/e.d.;Vernieling, misdrijf tegen openbare orde;Gewelds- en seksuele misdrijven;||Bedrijfsvestigingen totaal;|||A Landbouw, bosbouw en visserij;||B-F Nijverheid en energie;||G+I Handel en horeca;||H+J Vervoer, informatie en communicatie;||K-L Financiële diensten, onroerend goed;||M-N Zakelijke dienstverlening;||R-U Cultuur, recreatie, overige diensten;||||Personenauto's totaal;"||||Personenauto's; brandstof benzine";"|||Personenauto's; overige brandstof";||Personenauto's per huishouden;||Personenauto's naar oppervlakte;Motorfietsen;||Afstand tot huisartsenpraktijk;Afstand tot grote supermarkt;Afstand tot kinderdagverblijf;||Afstand tot school;||Scholen binnen 3 km;||Oppervlakte totaal;Oppervlakte land;Oppervlakte water;||Meest voorkomende postcode;Dekkingspercentage;||Mate van stedelijkheid;Omgevingsadressendichtheid
Wijken en buurten;naam;omschrijving;code;;code;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal inwoners per km²;aantal;x 1 000 euro;%;%;%;%;%;%;%;%;%;%;%;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;m³;m³;m³;m³;m³;m³;m³;m³;%;aantal;x 1 000 euro;x 1 000 euro;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;per 1 000 inwoners;per 1 000 inwoners;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per huishouden;per km²;aantal;km;km;km;km;aantal;ha;ha;ha;code;code;code;per km²
Rotterdam;Rotterdam;Gemeente;GM0599;2018;.;638712;314766;323946;103422;85677;194084;158382;97147;361032;188075;62397;27208;80742;244109;44164;24693;52620;47712;74920;.;.;.;.;321691;154323;72243;95125;2;2936;311336;166;25;75;94;6;34;64;44;20;1;88;12;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;6;8;58260;330;7750;12200;6670;4970;17560;8770;221880;184740;37140;0,7;1020;12500;.;0,5;.;.;.;32416;21757;10659;.;.;1;3941
Rotterdam Centrum;Rotterdam;Wijk;WK059901;2018;1;34685;17965;16720;3240;5720;14365;7040;4330;23490;7340;2990;875;6225;13010;2105;1210;2585;1650;5460;.;.;.;.;20860;12710;5000;3160;1,6;8392;19011;205;1;99;91;9;29;70;30;40;1;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;12;25;8375;5;360;2005;905;955;3080;1060;13075;9970;3105;0,6;3163;650;.;0,3;.;.;.;488;413;75;.;.;1;6127
Stadsdriehoek;Rotterdam;Buurt;BU05990110;2018;1;16045;8415;7625;1315;2440;7400;3070;1820;11140;3330;1225;355;3185;4610;455;555;910;435;2255;.;.;.;.;9845;6065;2625;1160;1,5;11811;9166;218;0;100;92;8;35;65;18;47;1;74;26;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;10;16;3725;5;140;840;395;420;1535;390;5840;4115;1725;0,6;4299;380;.;0,3;.;.;.;173;136;37;3011;1;1;6314
Oude Westen;Rotterdam;Buurt;BU05990111;2018;1;9380;4730;4650;1260;1435;2975;2330;1385;5865;2160;1085;280;1170;5410;1300;260;1125;955;1770;.;.;.;.;5025;2780;940;1315;1,8;16565;4579;150;3;97;94;6;18;79;60;19;3;98;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;5;15;1220;0;80;295;90;80;385;285;2325;1785;540;0,5;4103;110;.;0,2;.;.;.;57;57;0;3014;2;1;6295
Cool;Rotterdam;Buurt;BU05990112;2018;1;5870;2995;2875;455;1015;2665;1005;725;4135;1065;505;170;1190;2120;325;190;410;215;970;.;.;.;.;3690;2385;825;485;1,5;9622;3366;196;1;99;86;14;21;78;28;50;1;85;15;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;19;56;1730;0;55;595;195;135;510;240;1630;1215;420;0,4;2673;90;.;0,3;.;.;.;61;61;0;3012;1;1;6198
Cs Kwartier;Rotterdam;Buurt;BU05990113;2018;1;975;545;430;70;155;455;190;100;650;245;65;20;230;340;5;40;45;15;230;.;.;.;.;625;380;170;80;1,6;2394;562;207;0;100;89;11;49;51;1;50;0;100;0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;43;105;640;0;30;90;130;85;235;65;395;275;120;0,6;964;20;.;0,4;.;.;.;41;41;0;3013;1;1;6934
Nieuwe Werk;Rotterdam;Buurt;BU05990118;2018;1;1720;935;780;100;455;530;380;255;1120;460;95;50;350;260;15;60;45;15;120;.;.;.;.;1145;720;345;90;1,5;2494;906;447;4;96;86;14;47;48;13;35;5;78;22;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5;10;15;880;0;40;155;75;210;340;55;935;675;260;0,8;1353;35;.;0,5;.;.;.;104;69;35;3016;1;1;3420
Dijkzigt;Rotterdam;Buurt;BU05990119;2018;1;690;340;350;35;215;340;60;40;590;80;20;10;95;265;0;95;40;10;110;.;.;.;.;520;395;105;30;1,3;1385;432;151;3;97;95;5;15;85;58;27;0;83;17;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;22;32;180;0;10;30;15;25;75;25;1955;1910;45;.;.;15;.;0,6;.;.;.;52;50;2;3015;1;1;5269
Delfshaven;Rotterdam;Wijk;WK059903;2018;1;75605;38480;37120;12480;12035;26220;17610;7260;48050;18445;7420;1695;10290;42125;9805;2545;7375;9740;12655;.;.;.;.;38470;19645;7560;11275;1,9;14666;34895;137;4;96;95;5;27;71;48;24;2;90;10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;5;9;7020;50;805;1205;785;340;2285;1550;19215;15630;3590;0,5;3728;905;.;0,4;.;.;.;596;516;81;.;.;1;5500
Delfshaven;Rotterdam;Buurt;BU05990320;2018;1;6915;3590;3325;855;1330;2800;1385;545;5055;1050;700;115;965;3240;515;540;650;430;1100;.;.;.;.;3895;2255;850;800;1,7;16152;3438;121;2;98;96;4;18;74;53;21;8;96;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;5;10;755;0;65;110;85;35;255;200;1595;1370;225;0,4;3724;120;.;0,5;.;.;.;55;43;12;3024;1;1;4828
Bospolder;Rotterdam;Buurt;BU05990321;2018;1;7055;3595;3460;1290;1140;2055;1830;740;4225;1960;685;185;755;4870;1295;185;750;1400;1235;.;.;.;.;3330;1575;565;1200;2,1;20687;3209;118;8;92;94;6;17;82;64;18;1;86;14;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4;6;9;455;5;70;105;40;15;135;80;1575;1295;280;0,5;4614;70;.;0,3;.;.;.;34;34;0;3025;1;1;5360
Tussendijken;Rotterdam;Buurt;BU05990322;2018;1;7110;3575;3535;1220;1065;2330;1660;840;4315;1770;800;235;940;4640;1280;220;715;1205;1215;.;.;.;.;3605;1880;645;1085;2;19307;3426;105;1;99;93;7;12;86;61;25;2;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;7;10;680;5;100;155;70;30;185;135;1655;1280;370;0,5;4486;45;.;0,4;.;.;.;40;37;3;3026;1;1;6228
Spangen;Rotterdam;Buurt;BU05990323;2018;1;10190;5120;5070;2075;1680;3280;2365;790;6105;2910;985;195;980;7300;1920;320;1145;2010;1905;.;.;.;.;4470;1885;785;1810;2,3;16923;4117;115;4;96;97;3;29;71;59;12;0;87;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;6;10;600;10;90;105;85;15;175;125;2580;2045;535;0,6;4285;95;.;0,4;.;.;.;65;60;5;3027;1;1;4664
Nieuwe Westen;Rotterdam;Buurt;BU05990324;2018;1;19460;9870;9585;3310;3325;6490;4520;1815;12585;4750;1740;390;2395;10745;2805;545;1790;2525;3080;.;.;.;.;9675;4845;1870;2965;2;15714;8457;155;3;97;95;5;26;73;47;25;1;91;9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;5;7;1935;5;190;310;195;85;680;465;4785;3830;955;0,5;3865;225;.;0,3;.;.;.;124;124;0;3022;5;1;6618
