naam gebied (voormalig deelgemeente);wijknr;BUURT;Fysieke Index;Fysieke Index -subjectief;Fysieke Index -objectief;Vastgoed objectief;Openbare Ruimte objectief;Voorzieningen objectief;Milieu objectief;% kwetsbare meergezinswoningen;% kleine eengezinswoningen;gemiddelde WOZ per m2 woningoppervlakte;% woningen in funderingsrisicogebied;% leegstaande woningen;% woningen met overbezetting;% woningen met onderbezetting;vraagdruk sociale huurwoningen;gemiddelde looptijd (dagen) per verkooptransactie koopwoningen;% tevreden over onderhoud eigen woning;% tevreden over onderhoud naastgelegen woningen;% tevreden over onderhoud bebouwing buurt;% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);aantal verkeersongevallen per duizend inwoners;% verkooppunten directe risicobranches;% verkooppunten met leegstand;% woningen met bakker binnen normafstand;% woningen met groenteboer binnen normafstand;% woningen met slager binnen normafstand;% woningen met drogist binnen normafstand;aantal bakkers ;aantal groenteboeren ;aantal slagers ;aantal drogisten ;% woningen met gymzaal binnen normafstand;% woningen met sporthal binnen normafstand;% woningen met zwembad binnen normafstand;% woningen met voetbalveld binnen normafstand;aantal gymzalen ;aantal sporthallen ;aantal zwembaden ;aantal voetbalvelden ;% woningen met speeltuin binnen normafstand;% woningen met TOS/Duimdrop binnen normafstand;aantal speeltuinen ;aantal TOS/Duimdrop ;% woningen met basisscholen binnen normafstand;% woningen met VMBO scholen binnen normafstand;% woningen met HAVO VWO scholen binnen normafstand;aantal basisscholen ;aantal VMBO scholen ;aantal HAVO VWO scholen ;% woningen met tandartspraktijk binnen normafstand;% woningen met fysiotherapeut binnen normafstand;% woningen met huisartspraktijk binnen normafstand;% woningen met apotheek binnen normafstand;aantal tandartspraktijken ;aantal fysiotherapeuten ;aantal huisartspraktijken ;aantal apotheken ;% woningen met bushaltes binnen normafstand;% woningen met metrostations binnen normafstand;% woningen met tramhaltes binnen normafstand;aantal bushaltes ;aantal metrostations ;aantal tramhaltes ;gemiddelde NO2-concentratie 2009 irt grenswaarde 40 µg/m3;% woningen in geluidscontour vanaf 55 dB
Charlois;71;Tarwewijk;75;68;81;64;88;104;69;55%;2%;1137;84%;11%;14%;59%;116;214;48%;33%;28%;2%;10%;5%;7%;13%;20%;12%;3%;9%;12;10%;15%;99%;100%;100%;100%;4,5;4,6;4,9;4,9;84%;96%;100%;11%;1,8;1,2;1,1;0,1;100%;100%;3,5;20,4;91%;84%;93%;2,4;1,6;1,4;80%;76%;86%;89%;2,6;1,4;1,1;1,5;12%;100%;100%;0,2;2,3;16,6;91%;59%
Charlois;72;Carnisse;82;78;87;67;75;111;94;80%;1%;1381;82%;11%;14%;60%;88;194;53%;35%;30%;7%;10%;10%;25%;20%;30%;18%;8%;8%;8;5%;13%;76%;77%;71%;72%;4;3,9;3,7;3,9;64%;100%;88%;83%;1;1,8;0,9;3;100%;100%;2;17,2;67%;100%;100%;1;4;2,2;93%;75%;97%;96%;2,9;1,5;3,1;1,4;96%;100%;100%;2,3;1,2;9,6;92%;37%
Charlois;73;Zuidwijk;93;97;89;97;70;94;94;45%;2%;1434;5%;8%;8%;71%;79;189;54%;50%;45%;3%;16%;6%;6%;10%;22%;20%;9%;13%;9;1%;8%;49%;47%;64%;31%;0,9;0,8;1,4;0,8;66%;99%;0%;100%;1,4;1,5;0;4,6;89%;100%;1,4;5,5;44%;100%;100%;0,6;2;1,3;61%;25%;72%;74%;0,6;0,5;1;0,8;59%;77%;100%;1;0,8;5,4;83%;54%
Charlois;74;Oud-Charlois;87;92;82;77;71;95;87;48%;1%;1303;78%;10%;11%;65%;114;262;51%;43%;38%;4%;19%;7%;10%;12%;35%;19%;6%;11%;11;4%;12%;72%;71%;71%;64%;2,1;2;1,9;1,8;57%;100%;0%;59%;1,1;1,6;0;1,6;93%;100%;1,2;12,6;73%;100%;100%;1,2;4,3;1,8;30%;53%;73%;52%;0,6;0,8;3,2;0,7;81%;4%;100%;1,6;0;9,4;90%;46%
Charlois;75;Wielewaal;89;93;84;95;75;77;88;0%;60%;1326;6%;5%;3%;78%;194;;36%;28%;36%;0%;34%;16%;4%;11%;30%;23%;9%;13%;3;0%;0%;0%;0%;0%;0%;0;0;0;0;80%;100%;0%;100%;0,8;1;0;3,4;100%;100%;1,8;10,2;0%;93%;98%;0;4,6;1,7;92%;0%;1%;0%;0,9;0;0;0;62%;4%;100%;0,8;0;5,4;84%;57%
Charlois;76;Zuidplein;84;96;71;94;60;112;19;6%;0%;1418;4%;7%;4%;75%;;446;62%;64%;35%;3%;6%;25%;23%;1%;15%;11%;4%;12%;70;0%;7%;100%;82%;82%;100%;3,1;2,1;2;4,6;44%;100%;100%;100%;0,7;1;1;3,1;100%;100%;3,9;20,2;0%;100%;100%;0;3;1,2;100%;56%;100%;50%;5,6;0,6;1;0,7;84%;100%;100%;2,7;1,8;18,6;100%;96%
Charlois;77;Pendrecht;87;85;89;93;81;90;92;32%;2%;1281;6%;6%;9%;69%;205;297;59%;45%;44%;0%;13%;6%;6%;7%;20%;18%;7%;15%;5;2%;12%;47%;49%;49%;50%;2,3;1,7;2;2,1;30%;89%;0%;100%;0,5;1,4;0;5,8;98%;100%;1,6;7,3;53%;28%;58%;1;0,5;0,9;36%;75%;63%;50%;0,4;1,2;0,7;0,5;71%;97%;100%;1;1;3,1;85%;52%
Charlois;78;Zuiderpark en Zuidrand;91;101;81;111;44;87;83;0%;12%;2059;29%;9%;5%;75%;;296;69%;70%;50%;4%;25%;21%;12%;10%;13%;10%;10%;20%;43;0%;1%;0%;6%;6%;6%;0;0,1;0,1;0,1;48%;86%;12%;97%;1,1;1,2;0,1;3,4;90%;100%;1,1;8,9;33%;61%;61%;0,5;2,7;1;17%;35%;36%;35%;0,2;0,5;1,1;0,5;62%;72%;87%;1,3;0,9;3,6;90%;50%
Charlois;93;Heijplaat;91;98;83;100;79;75;77;19%;19%;1482;20%;27%;4%;58%;350;;69%;52%;51%;0%;37%;14%;3%;1%;19%;27%;9%;14%;2;0%;0%;70%;69%;68%;69%;1,2;0,7;0,7;0,7;66%;0%;0%;100%;0,7;0;0;1;100%;19%;1;0,3;35%;0%;0%;0,3;0;0;0%;68%;0%;63%;0;0,7;0;0,6;80%;0%;0%;1;0;0;80%;76%
Charlois;4009;Charlois;84;84;84;80;70;101;84;49%;3%;1327;48%;9%;11%;65%;130;228;53%;42%;37%;3%;18%;11%;10%;10%;23%;17%;7%;13%;11;3%;11%;68%;67%;69%;62%;2,6;2,4;2,6;2,6;61%;94%;36%;73%;1,2;1,4;0,4;3;96%;98%;1,9;12,4;62%;82%;89%;1,1;2,5;1,5;59%;59%;75%;70%;1,4;1;1,7;0,9;65%;71%;97%;1,3;1;8,7;88%;51%
Delfshaven;20;Delfshaven;91;89;94;93;109;98;75;43%;1%;1405;85%;6%;9%;67%;1387;201;43%;32%;31%;6%;22%;10%;5%;22%;19%;7%;1%;1%;12;0%;12%;79%;85%;84%;85%;1,4;1,6;1,6;1,7;89%;0%;0%;0%;1;0;0;0;90%;100%;1,5;19,8;70%;100%;100%;1,2;3,4;2,4;80%;18%;100%;78%;1,2;0,3;1,5;0,8;0%;100%;100%;0;2,6;28,2;92%;52%
Delfshaven;21;Bospolder;84;71;96;77;119;102;86;48%;0%;1315;91%;5%;18%;60%;347;302;45%;38%;36%;9%;16%;7%;3%;14%;37%;9%;6%;0%;5;6%;9%;100%;100%;100%;100%;5,4;4,4;5,8;5,4;97%;11%;2%;14%;1,3;0,2;0;0,2;100%;100%;2,3;18,5;87%;100%;68%;1,8;2,4;1,2;42%;54%;97%;100%;0,7;0,5;2,9;1,4;1%;100%;100%;0;2,6;23,1;88%;50%
